term,inDocumentsCount,rawFreq,relativeFreq,comparisonRelativeFreqDifference,relativePeakedness,relativeSkewness,distributions/0
valeur,1,16,0.0011612716,0,,,0.0011612716
d’emprunt,1,15,0.0010886921,0,,,0.0010886921
l’apport,1,15,0.0010886921,0,,,0.0010886921
mensualités,1,15,0.0010886921,0,,,0.0010886921
peuvent,1,15,0.0010886921,0,,,0.0010886921
30,1,14,0.0010161126,0,,,0.0010161126
cdd,1,14,0.0010161126,0,,,0.0010161126
critère,1,14,0.0010161126,0,,,0.0010161126
déterminer,1,14,0.0010161126,0,,,0.0010161126
emprunteurs,1,14,0.0010161126,0,,,0.0010161126
garantie,1,14,0.0010161126,0,,,0.0010161126
gestion,1,14,0.0010161126,0,,,0.0010161126
généralement,1,14,0.0010161126,0,,,0.0010161126
mensualité,1,14,0.0010161126,0,,,0.0010161126
relevés,1,14,0.0010161126,0,,,0.0010161126
années,1,13,0.00094353314,0,,,0.00094353314
bancaire,1,13,0.00094353314,0,,,0.00094353314
emprunter,1,13,0.00094353314,0,,,0.00094353314
etc,1,13,0.00094353314,0,,,0.00094353314
immobiliers,1,13,0.00094353314,0,,,0.00094353314
logement,1,13,0.00094353314,0,,,0.00094353314
minimum,1,13,0.00094353314,0,,,0.00094353314
n’est,1,13,0.00094353314,0,,,0.00094353314
obtenir,1,13,0.00094353314,0,,,0.00094353314
paiement,1,13,0.00094353314,0,,,0.00094353314
somme,1,13,0.00094353314,0,,,0.00094353314
stable,1,13,0.00094353314,0,,,0.00094353314
2,1,12,0.0008709537,0,,,0.0008709537
accorder,1,12,0.0008709537,0,,,0.0008709537
consommation,1,12,0.0008709537,0,,,0.0008709537
contrat,1,12,0.0008709537,0,,,0.0008709537
couple,1,12,0.0008709537,0,,,0.0008709537
d'endettement,1,12,0.0008709537,0,,,0.0008709537
éléments,1,12,0.0008709537,0,,,0.0008709537
fonction,1,12,0.0008709537,0,,,0.0008709537
loyer,1,12,0.0008709537,0,,,0.0008709537
l’argent,1,12,0.0008709537,0,,,0.0008709537
meilleures,1,12,0.0008709537,0,,,0.0008709537
niveau,1,12,0.0008709537,0,,,0.0008709537
notaire,1,12,0.0008709537,0,,,0.0008709537
possible,1,12,0.0008709537,0,,,0.0008709537
1,1,11,0.00079837424,0,,,0.00079837424
beaucoup,1,11,0.00079837424,0,,,0.00079837424
demander,1,11,0.00079837424,0,,,0.00079837424
fois,1,11,0.00079837424,0,,,0.00079837424
important,1,11,0.00079837424,0,,,0.00079837424
moyen,1,11,0.00079837424,0,,,0.00079837424
optimiser,1,11,0.00079837424,0,,,0.00079837424
scoring,1,11,0.00079837424,0,,,0.00079837424
trop,1,11,0.00079837424,0,,,0.00079837424
dépenses,1,10,0.00072579476,0,,,0.00072579476
endettement,1,10,0.00072579476,0,,,0.00072579476
financière,1,10,0.00072579476,0,,,0.00072579476
futur,1,10,0.00072579476,0,,,0.00072579476
marché,1,10,0.00072579476,0,,,0.00072579476
meilleur,1,10,0.00072579476,0,,,0.00072579476
présenter,1,10,0.00072579476,0,,,0.00072579476
souvent,1,10,0.00072579476,0,,,0.00072579476
temps,1,10,0.00072579476,0,,,0.00072579476
travail,1,10,0.00072579476,0,,,0.00072579476
vie,1,10,0.00072579476,0,,,0.00072579476
20,1,9,0.0006532153,0,,,0.0006532153
budget,1,9,0.0006532153,0,,,0.0006532153
courtier,1,9,0.0006532153,0,,,0.0006532153
coût,1,9,0.0006532153,0,,,0.0006532153
familial,1,9,0.0006532153,0,,,0.0006532153
financer,1,9,0.0006532153,0,,,0.0006532153
notamment,1,9,0.0006532153,0,,,0.0006532153
prêter,1,9,0.0006532153,0,,,0.0006532153
prix,1,9,0.0006532153,0,,,0.0006532153
prouver,1,9,0.0006532153,0,,,0.0006532153
règle,1,9,0.0006532153,0,,,0.0006532153
risques,1,9,0.0006532153,0,,,0.0006532153
type,1,9,0.0006532153,0,,,0.0006532153
25,1,8,0.0005806358,0,,,0.0005806358
3,1,8,0.0005806358,0,,,0.0005806358
attention,1,8,0.0005806358,0,,,0.0005806358
comportement,1,8,0.0005806358,0,,,0.0005806358
derniers,1,8,0.0005806358,0,,,0.0005806358
décrocher,1,8,0.0005806358,0,,,0.0005806358
dépasser,1,8,0.0005806358,0,,,0.0005806358
difficile,1,8,0.0005806358,0,,,0.0005806358
dire,1,8,0.0005806358,0,,,0.0005806358
d’apport,1,8,0.0005806358,0,,,0.0005806358
d’autres,1,8,0.0005806358,0,,,0.0005806358
d’emprunteur,1,8,0.0005806358,0,,,0.0005806358
élevé,1,8,0.0005806358,0,,,0.0005806358
épargner,1,8,0.0005806358,0,,,0.0005806358
foyer,1,8,0.0005806358,0,,,0.0005806358
garanties,1,8,0.0005806358,0,,,0.0005806358
mal,1,8,0.0005806358,0,,,0.0005806358
mieux,1,8,0.0005806358,0,,,0.0005806358
payer,1,8,0.0005806358,0,,,0.0005806358
permet,1,8,0.0005806358,0,,,0.0005806358
pourrez,1,8,0.0005806358,0,,,0.0005806358
profils,1,8,0.0005806358,0,,,0.0005806358
quotient,1,8,0.0005806358,0,,,0.0005806358
rapport,1,8,0.0005806358,0,,,0.0005806358
revenu,1,8,0.0005806358,0,,,0.0005806358
salaire,1,8,0.0005806358,0,,,0.0005806358
souhaitez,1,8,0.0005806358,0,,,0.0005806358
total,1,8,0.0005806358,0,,,0.0005806358
vont,1,8,0.0005806358,0,,,0.0005806358
accepter,1,7,0.0005080563,0,,,0.0005080563
bonne,1,7,0.0005080563,0,,,0.0005080563
chances,1,7,0.0005080563,0,,,0.0005080563
client,1,7,0.0005080563,0,,,0.0005080563
delà,1,7,0.0005080563,0,,,0.0005080563
devrez,1,7,0.0005080563,0,,,0.0005080563
découvert,1,7,0.0005080563,0,,,0.0005080563
d’autant,1,7,0.0005080563,0,,,0.0005080563
d’obtenir,1,7,0.0005080563,0,,,0.0005080563
face,1,7,0.0005080563,0,,,0.0005080563
faible,1,7,0.0005080563,0,,,0.0005080563
finances,1,7,0.0005080563,0,,,0.0005080563
longue,1,7,0.0005080563,0,,,0.0005080563
négocier,1,7,0.0005080563,0,,,0.0005080563
partie,1,7,0.0005080563,0,,,0.0005080563
personnelle,1,7,0.0005080563,0,,,0.0005080563
points,1,7,0.0005080563,0,,,0.0005080563
pouvez,1,7,0.0005080563,0,,,0.0005080563
pouvoir,1,7,0.0005080563,0,,,0.0005080563
représente,1,7,0.0005080563,0,,,0.0005080563
ressources,1,7,0.0005080563,0,,,0.0005080563
revente,1,7,0.0005080563,0,,,0.0005080563
sérieux,1,7,0.0005080563,0,,,0.0005080563
stabilité,1,7,0.0005080563,0,,,0.0005080563
surtout,1,7,0.0005080563,0,,,0.0005080563
s’il,1,7,0.0005080563,0,,,0.0005080563
terme,1,7,0.0005080563,0,,,0.0005080563
2020,1,6,0.00043547686,0,,,0.00043547686
4,1,6,0.00043547686,0,,,0.00043547686
appartement,1,6,0.00043547686,0,,,0.00043547686
argent,1,6,0.00043547686,0,,,0.00043547686
calcul,1,6,0.00043547686,0,,,0.00043547686
constitue,1,6,0.00043547686,0,,,0.00043547686
demandeur,1,6,0.00043547686,0,,,0.00043547686
dessous,1,6,0.00043547686,0,,,0.00043547686
dit,1,6,0.00043547686,0,,,0.00043547686
d’avoir,1,6,0.00043547686,0,,,0.00043547686
emprunt,1,6,0.00043547686,0,,,0.00043547686
évaluer,1,6,0.00043547686,0,,,0.00043547686
faut,1,6,0.00043547686,0,,,0.00043547686
financier,1,6,0.00043547686,0,,,0.00043547686
financières,1,6,0.00043547686,0,,,0.00043547686
fonctionnaire,1,6,0.00043547686,0,,,0.00043547686
fonctionnaires,1,6,0.00043547686,0,,,0.00043547686
font,1,6,0.00043547686,0,,,0.00043547686
future,1,6,0.00043547686,0,,,0.00043547686
jeune,1,6,0.00043547686,0,,,0.00043547686
locatif,1,6,0.00043547686,0,,,0.00043547686
l’inverse,1,6,0.00043547686,0,,,0.00043547686
manière,1,6,0.00043547686,0,,,0.00043547686
mesure,1,6,0.00043547686,0,,,0.00043547686
ménage,1,6,0.00043547686,0,,,0.00043547686
modestes,1,6,0.00043547686,0,,,0.00043547686
net,1,6,0.00043547686,0,,,0.00043547686
permettra,1,6,0.00043547686,0,,,0.00043547686
prendre,1,6,0.00043547686,0,,,0.00043547686
principale,1,6,0.00043547686,0,,,0.00043547686
pris,1,6,0.00043547686,0,,,0.00043547686
privé,1,6,0.00043547686,0,,,0.00043547686
qualité,1,6,0.00043547686,0,,,0.00043547686
quotité,1,6,0.00043547686,0,,,0.00043547686
qu’elle,1,6,0.00043547686,0,,,0.00043547686
ratio,1,6,0.00043547686,0,,,0.00043547686
résidence,1,6,0.00043547686,0,,,0.00043547686
salariés,1,6,0.00043547686,0,,,0.00043547686
sécurité,1,6,0.00043547686,0,,,0.00043547686
sûr,1,6,0.00043547686,0,,,0.00043547686
traitement,1,6,0.00043547686,0,,,0.00043547686
100,1,5,0.00036289738,0,,,0.00036289738
15,1,5,0.00036289738,0,,,0.00036289738
50,1,5,0.00036289738,0,,,0.00036289738
800,1,5,0.00036289738,0,,,0.00036289738
achat,1,5,0.00036289738,0,,,0.00036289738
activité,1,5,0.00036289738,0,,,0.00036289738
ancienneté,1,5,0.00036289738,0,,,0.00036289738
assumer,1,5,0.00036289738,0,,,0.00036289738
autant,1,5,0.00036289738,0,,,0.00036289738
avantageuses,1,5,0.00036289738,0,,,0.00036289738
avis,1,5,0.00036289738,0,,,0.00036289738
âge,1,5,0.00036289738,0,,,0.00036289738
bénéficier,1,5,0.00036289738,0,,,0.00036289738
cadre,1,5,0.00036289738,0,,,0.00036289738
capable,1,5,0.00036289738,0,,,0.00036289738
charge,1,5,0.00036289738,0,,,0.00036289738
cher,1,5,0.00036289738,0,,,0.00036289738
compris,1,5,0.00036289738,0,,,0.00036289738
constituer,1,5,0.00036289738,0,,,0.00036289738
cours,1,5,0.00036289738,0,,,0.00036289738
demandera,1,5,0.00036289738,0,,,0.00036289738
découverts,1,5,0.00036289738,0,,,0.00036289738
difficulté,1,5,0.00036289738,0,,,0.00036289738
directement,1,5,0.00036289738,0,,,0.00036289738
dossiers,1,5,0.00036289738,0,,,0.00036289738
d’acquisition,1,5,0.00036289738,0,,,0.00036289738
emploi,1,5,0.00036289738,0,,,0.00036289738
engagement,1,5,0.00036289738,0,,,0.00036289738
ensuite,1,5,0.00036289738,0,,,0.00036289738
entreprise,1,5,0.00036289738,0,,,0.00036289738
euros,1,5,0.00036289738,0,,,0.00036289738
échéances,1,5,0.00036289738,0,,,0.00036289738
étudiera,1,5,0.00036289738,0,,,0.00036289738
facilement,1,5,0.00036289738,0,,,0.00036289738
fin,1,5,0.00036289738,0,,,0.00036289738
fixes,1,5,0.00036289738,0,,,0.00036289738
forcément,1,5,0.00036289738,0,,,0.00036289738
générale,1,5,0.00036289738,0,,,0.00036289738
grande,1,5,0.00036289738,0,,,0.00036289738
idéal,1,5,0.00036289738,0,,,0.00036289738
impôts,1,5,0.00036289738,0,,,0.00036289738
incidents,1,5,0.00036289738,0,,,0.00036289738
intérêt,1,5,0.00036289738,0,,,0.00036289738
investissement,1,5,0.00036289738,0,,,0.00036289738
jusqu’à,1,5,0.00036289738,0,,,0.00036289738
l'emprunteur,1,5,0.00036289738,0,,,0.00036289738
l’un,1,5,0.00036289738,0,,,0.00036289738
maison,1,5,0.00036289738,0,,,0.00036289738
maximum,1,5,0.00036289738,0,,,0.00036289738
ménages,1,5,0.00036289738,0,,,0.00036289738
nature,1,5,0.00036289738,0,,,0.00036289738
nombre,1,5,0.00036289738,0,,,0.00036289738
nombreux,1,5,0.00036289738,0,,,0.00036289738
premier,1,5,0.00036289738,0,,,0.00036289738
préférable,1,5,0.00036289738,0,,,0.00036289738
primes,1,5,0.00036289738,0,,,0.00036289738
prise,1,5,0.00036289738,0,,,0.00036289738
proposer,1,5,0.00036289738,0,,,0.00036289738
qu’un,1,5,0.00036289738,0,,,0.00036289738
refus,1,5,0.00036289738,0,,,0.00036289738
revanche,1,5,0.00036289738,0,,,0.00036289738
régulièrement,1,5,0.00036289738,0,,,0.00036289738
risqué,1,5,0.00036289738,0,,,0.00036289738
s'agit,1,5,0.00036289738,0,,,0.00036289738
salarié,1,5,0.00036289738,0,,,0.00036289738
savoir,1,5,0.00036289738,0,,,0.00036289738
situé,1,5,0.00036289738,0,,,0.00036289738
solvabilité,1,5,0.00036289738,0,,,0.00036289738
suffisant,1,5,0.00036289738,0,,,0.00036289738
suivants,1,5,0.00036289738,0,,,0.00036289738
s’agit,1,5,0.00036289738,0,,,0.00036289738
travaillez,1,5,0.00036289738,0,,,0.00036289738
veut,1,5,0.00036289738,0,,,0.00036289738
voire,1,5,0.00036289738,0,,,0.00036289738
200,1,4,0.0002903179,0,,,0.0002903179
35,1,4,0.0002903179,0,,,0.0002903179
5,1,4,0.0002903179,0,,,0.0002903179
70,1,4,0.0002903179,0,,,0.0002903179
acquisition,1,4,0.0002903179,0,,,0.0002903179
actuel,1,4,0.0002903179,0,,,0.0002903179
actuellement,1,4,0.0002903179,0,,,0.0002903179
assurance,1,4,0.0002903179,0,,,0.0002903179
atout,1,4,0.0002903179,0,,,0.0002903179
attirer,1,4,0.0002903179,0,,,0.0002903179
auto,1,4,0.0002903179,0,,,0.0002903179
autrement,1,4,0.0002903179,0,,,0.0002903179
bons,1,4,0.0002903179,0,,,0.0002903179
calculer,1,4,0.0002903179,0,,,0.0002903179
célibataire,1,4,0.0002903179,0,,,0.0002903179
clients,1,4,0.0002903179,0,,,0.0002903179
cohérent,1,4,0.0002903179,0,,,0.0002903179
comment,1,4,0.0002903179,0,,,0.0002903179
compliqué,1,4,0.0002903179,0,,,0.0002903179
condition,1,4,0.0002903179,0,,,0.0002903179
conseillé,1,4,0.0002903179,0,,,0.0002903179
consenti,1,4,0.0002903179,0,,,0.0002903179
constitué,1,4,0.0002903179,0,,,0.0002903179
contracter,1,4,0.0002903179,0,,,0.0002903179
contraire,1,4,0.0002903179,0,,,0.0002903179
correspond,1,4,0.0002903179,0,,,0.0002903179
d'apport,1,4,0.0002903179,0,,,0.0002903179
d'autres,1,4,0.0002903179,0,,,0.0002903179
davantage,1,4,0.0002903179,0,,,0.0002903179
demandé,1,4,0.0002903179,0,,,0.0002903179
défaillance,1,4,0.0002903179,0,,,0.0002903179
dépend,1,4,0.0002903179,0,,,0.0002903179
disposer,1,4,0.0002903179,0,,,0.0002903179
disposez,1,4,0.0002903179,0,,,0.0002903179
doivent,1,4,0.0002903179,0,,,0.0002903179
durées,1,4,0.0002903179,0,,,0.0002903179
d’abord,1,4,0.0002903179,0,,,0.0002903179
d’achat,1,4,0.0002903179,0,,,0.0002903179
d’être,1,4,0.0002903179,0,,,0.0002903179
d’intérêt,1,4,0.0002903179,0,,,0.0002903179
élevés,1,4,0.0002903179,0,,,0.0002903179
étudiant,1,4,0.0002903179,0,,,0.0002903179
façon,1,4,0.0002903179,0,,,0.0002903179
familiale,1,4,0.0002903179,0,,,0.0002903179
famille,1,4,0.0002903179,0,,,0.0002903179
financiers,1,4,0.0002903179,0,,,0.0002903179
fonciers,1,4,0.0002903179,0,,,0.0002903179
fort,1,4,0.0002903179,0,,,0.0002903179
gagner,1,4,0.0002903179,0,,,0.0002903179
grâce,1,4,0.0002903179,0,,,0.0002903179
haut,1,4,0.0002903179,0,,,0.0002903179
immobilière,1,4,0.0002903179,0,,,0.0002903179
importante,1,4,0.0002903179,0,,,0.0002903179
indéterminée,1,4,0.0002903179,0,,,0.0002903179
inférieur,1,4,0.0002903179,0,,,0.0002903179
jeunes,1,4,0.0002903179,0,,,0.0002903179
jouer,1,4,0.0002903179,0,,,0.0002903179
là,1,4,0.0002903179,0,,,0.0002903179
locatifs,1,4,0.0002903179,0,,,0.0002903179
long,1,4,0.0002903179,0,,,0.0002903179
l’avenir,1,4,0.0002903179,0,,,0.0002903179
l’épargne,1,4,0.0002903179,0,,,0.0002903179
l’établissement,1,4,0.0002903179,0,,,0.0002903179
l’obtention,1,4,0.0002903179,0,,,0.0002903179
meilleure,1,4,0.0002903179,0,,,0.0002903179
mettre,1,4,0.0002903179,0,,,0.0002903179
métier,1,4,0.0002903179,0,,,0.0002903179
moindre,1,4,0.0002903179,0,,,0.0002903179
nets,1,4,0.0002903179,0,,,0.0002903179
nécessaire,1,4,0.0002903179,0,,,0.0002903179
nécessaires,1,4,0.0002903179,0,,,0.0002903179
n’avez,1,4,0.0002903179,0,,,0.0002903179
particulièrement,1,4,0.0002903179,0,,,0.0002903179
partir,1,4,0.0002903179,0,,,0.0002903179
pel,1,4,0.0002903179,0,,,0.0002903179
percevez,1,4,0.0002903179,0,,,0.0002903179
personnes,1,4,0.0002903179,0,,,0.0002903179
pérenne,1,4,0.0002903179,0,,,0.0002903179
placements,1,4,0.0002903179,0,,,0.0002903179
plupart,1,4,0.0002903179,0,,,0.0002903179
porte,1,4,0.0002903179,0,,,0.0002903179
potentiel,1,4,0.0002903179,0,,,0.0002903179
pourrait,1,4,0.0002903179,0,,,0.0002903179
pourront,1,4,0.0002903179,0,,,0.0002903179
précise,1,4,0.0002903179,0,,,0.0002903179
présente,1,4,0.0002903179,0,,,0.0002903179
présentez,1,4,0.0002903179,0,,,0.0002903179
principaux,1,4,0.0002903179,0,,,0.0002903179
problème,1,4,0.0002903179,0,,,0.0002903179
professionnel,1,4,0.0002903179,0,,,0.0002903179
projets,1,4,0.0002903179,0,,,0.0002903179
prouve,1,4,0.0002903179,0,,,0.0002903179
publique,1,4,0.0002903179,0,,,0.0002903179
qu’elles,1,4,0.0002903179,0,,,0.0002903179
raisonnable,1,4,0.0002903179,0,,,0.0002903179
rassurer,1,4,0.0002903179,0,,,0.0002903179
rassurera,1,4,0.0002903179,0,,,0.0002903179
restera,1,4,0.0002903179,0,,,0.0002903179
s'il,1,4,0.0002903179,0,,,0.0002903179
sachez,1,4,0.0002903179,0,,,0.0002903179
sein,1,4,0.0002903179,0,,,0.0002903179
seule,1,4,0.0002903179,0,,,0.0002903179
seulement,1,4,0.0002903179,0,,,0.0002903179
simple,1,4,0.0002903179,0,,,0.0002903179
suffisants,1,4,0.0002903179,0,,,0.0002903179
supérieur,1,4,0.0002903179,0,,,0.0002903179
s’assurer,1,4,0.0002903179,0,,,0.0002903179
tiers,1,4,0.0002903179,0,,,0.0002903179
veillez,1,4,0.0002903179,0,,,0.0002903179
vérifier,1,4,0.0002903179,0,,,0.0002903179
voir,1,4,0.0002903179,0,,,0.0002903179
110,1,3,0.00021773843,0,,,0.00021773843
12,1,3,0.00021773843,0,,,0.00021773843
150,1,3,0.00021773843,0,,,0.00021773843
300,1,3,0.00021773843,0,,,0.00021773843
6,1,3,0.00021773843,0,,,0.00021773843
80,1,3,0.00021773843,0,,,0.00021773843
accédants,1,3,0.00021773843,0,,,0.00021773843
accéder,1,3,0.00021773843,0,,,0.00021773843
aisés,1,3,0.00021773843,0,,,0.00021773843
alimentaires,1,3,0.00021773843,0,,,0.00021773843
allonier,1,3,0.00021773843,0,,,0.00021773843
ancien,1,3,0.00021773843,0,,,0.00021773843
apprécient,1,3,0.00021773843,0,,,0.00021773843
automatiquement,1,3,0.00021773843,0,,,0.00021773843
âgé,1,3,0.00021773843,0,,,0.00021773843
banquiers,1,3,0.00021773843,0,,,0.00021773843
barèmes,1,3,0.00021773843,0,,,0.00021773843
bas,1,3,0.00021773843,0,,,0.00021773843
base,1,3,0.00021773843,0,,,0.00021773843
besoin,1,3,0.00021773843,0,,,0.00021773843
besoins,1,3,0.00021773843,0,,,0.00021773843
bénéficient,1,3,0.00021773843,0,,,0.00021773843
biens,1,3,0.00021773843,0,,,0.00021773843
bonnes,1,3,0.00021773843,0,,,0.00021773843
caution,1,3,0.00021773843,0,,,0.00021773843
certitude,1,3,0.00021773843,0,,,0.00021773843
choix,1,3,0.00021773843,0,,,0.00021773843
clientèle,1,3,0.00021773843,0,,,0.00021773843
combien,1,3,0.00021773843,0,,,0.00021773843
complément,1,3,0.00021773843,0,,,0.00021773843
concurrence,1,3,0.00021773843,0,,,0.00021773843
conjoint,1,3,0.00021773843,0,,,0.00021773843
conseillons,1,3,0.00021773843,0,,,0.00021773843
consiste,1,3,0.00021773843,0,,,0.00021773843
construction,1,3,0.00021773843,0,,,0.00021773843
couvrir,1,3,0.00021773843,0,,,0.00021773843
d'abord,1,3,0.00021773843,0,,,0.00021773843
d'intérêt,1,3,0.00021773843,0,,,0.00021773843
demandes,1,3,0.00021773843,0,,,0.00021773843
demandez,1,3,0.00021773843,0,,,0.00021773843
deniers,1,3,0.00021773843,0,,,0.00021773843
dernier,1,3,0.00021773843,0,,,0.00021773843
dernières,1,3,0.00021773843,0,,,0.00021773843
dessus,1,3,0.00021773843,0,,,0.00021773843
défaut,1,3,0.00021773843,0,,,0.00021773843
définir,1,3,0.00021773843,0,,,0.00021773843
dépensez,1,3,0.00021773843,0,,,0.00021773843
différence,1,3,0.00021773843,0,,,0.00021773843
dignes,1,3,0.00021773843,0,,,0.00021773843
dispose,1,3,0.00021773843,0,,,0.00021773843
d’agence,1,3,0.00021773843,0,,,0.00021773843
d’argent,1,3,0.00021773843,0,,,0.00021773843
d’emploi,1,3,0.00021773843,0,,,0.00021773843
d’emprunter,1,3,0.00021773843,0,,,0.00021773843
d’emprunteurs,1,3,0.00021773843,0,,,0.00021773843
d’emprunts,1,3,0.00021773843,0,,,0.00021773843
d’éviter,1,3,0.00021773843,0,,,0.00021773843
emprunte,1,3,0.00021773843,0,,,0.00021773843
empruntez,1,3,0.00021773843,0,,,0.00021773843
entrepreneurs,1,3,0.00021773843,0,,,0.00021773843
exigeantes,1,3,0.00021773843,0,,,0.00021773843
explique,1,3,0.00021773843,0,,,0.00021773843
économies,1,3,0.00021773843,0,,,0.00021773843
égale,1,3,0.00021773843,0,,,0.00021773843
élément,1,3,0.00021773843,0,,,0.00021773843
établissement,1,3,0.00021773843,0,,,0.00021773843
étude,1,3,0.00021773843,0,,,0.00021773843
évitez,1,3,0.00021773843,0,,,0.00021773843
facile,1,3,0.00021773843,0,,,0.00021773843
facilité,1,3,0.00021773843,0,,,0.00021773843
faibles,1,3,0.00021773843,0,,,0.00021773843
favorablement,1,3,0.00021773843,0,,,0.00021773843
france,1,3,0.00021773843,0,,,0.00021773843
futures,1,3,0.00021773843,0,,,0.00021773843
gage,1,3,0.00021773843,0,,,0.00021773843
gagnez,1,3,0.00021773843,0,,,0.00021773843
gérer,1,3,0.00021773843,0,,,0.00021773843
gérez,1,3,0.00021773843,0,,,0.00021773843
globale,1,3,0.00021773843,0,,,0.00021773843
hypothèque,1,3,0.00021773843,0,,,0.00021773843
implique,1,3,0.00021773843,0,,,0.00021773843
importance,1,3,0.00021773843,0,,,0.00021773843
indépendant,1,3,0.00021773843,0,,,0.00021773843
indépendants,1,3,0.00021773843,0,,,0.00021773843
indispensable,1,3,0.00021773843,0,,,0.00021773843
informations,1,3,0.00021773843,0,,,0.00021773843
inspirer,1,3,0.00021773843,0,,,0.00021773843
issus,1,3,0.00021773843,0,,,0.00021773843
jour,1,3,0.00021773843,0,,,0.00021773843
justifier,1,3,0.00021773843,0,,,0.00021773843
l'acquisition,1,3,0.00021773843,0,,,0.00021773843
l'ensemble,1,3,0.00021773843,0,,,0.00021773843
l'épargne,1,3,0.00021773843,0,,,0.00021773843
libérales,1,3,0.00021773843,0,,,0.00021773843
liés,1,3,0.00021773843,0,,,0.00021773843
limité,1,3,0.00021773843,0,,,0.00021773843
localisation,1,3,0.00021773843,0,,,0.00021773843
longtemps,1,3,0.00021773843,0,,,0.00021773843
longues,1,3,0.00021773843,0,,,0.00021773843
l’ancienneté,1,3,0.00021773843,0,,,0.00021773843
l’emploi,1,3,0.00021773843,0,,,0.00021773843
l’examen,1,3,0.00021773843,0,,,0.00021773843
matière,1,3,0.00021773843,0,,,0.00021773843
meilleurs,1,3,0.00021773843,0,,,0.00021773843
mis,1,3,0.00021773843,0,,,0.00021773843
mise,1,3,0.00021773843,0,,,0.00021773843
moment,1,3,0.00021773843,0,,,0.00021773843
montre,1,3,0.00021773843,0,,,0.00021773843
montrer,1,3,0.00021773843,0,,,0.00021773843
moyens,1,3,0.00021773843,0,,,0.00021773843
nombreuses,1,3,0.00021773843,0,,,0.00021773843
normalement,1,3,0.00021773843,0,,,0.00021773843
